product name:, price:, link:
GIGABYTE Eagle GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TEAGLE OC-12GD,901,https://www.newegg.com/gigabyte-geforce-rtx-3080-ti-gv-n308teagle-oc-12gd/p/N82E16814932438
GIGABYTE Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TGAMING OC-12GD,905,https://www.newegg.com/gigabyte-geforce-rtx-3080-ti-gv-n308tgaming-oc-12gd/p/N82E16814932436
"Refurbished GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 10G Graphics Card, WATERFORCE Water Block Cooling System, 10GB 320-bit GDDR6X, Video Card (GV-N3080AORUSX WB-10GD)",490,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080aorusx-wb-10gd/p/1FT-000A-00625
Refurbished MSI Suprim GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 SUPRIM X 10G LHR,533,https://www.newegg.com/msi-geforce-rtx-3080-rtx-3080-suprim-x-10g-lhr/p/1FT-0009-00AK3
"ZOTAC GeForce RTX 3080 Ti Trinity OC Graphics Card, 12GB GDDR6X 384-bit 19 Gbps PCIe 4.0, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, w/ MT HDMI 2.1 Cable([email protected]/[email protected])",1369,https://www.newegg.com/p/1FT-000M-003D8
MSI Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 GAMING X TRIO 10G,744,https://www.newegg.com/msi-geforce-rtx-3080-rtx-3080-gaming-x-trio-10g/p/N82E16814137597
"Refurbished GIGABYTE GeForce RTX 3080 Turbo 10G Graphics Card (2X HDMI 2.1, 2X DisplayPort 1.4a, GDDR6X 320bit) GV-N3080TURBO-10GD(R2.0)(LHR)",460,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080turbo-10gd/p/1FT-000A-005W7
Refurbished MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card 320-Bit GDDR6X RTX 3080 VENTUS 3X 10G OC LHR,509,https://www.newegg.com/msi-geforce-rtx-3080-rtx-3080-ventus-3x-10g-oc-lhr/p/1FT-0009-00AR9
"Refurbished ASUS TUF Gaming NVIDIA GeForce RTX 3080 O10G V2 GAMING Edition Graphics Card (PCIe 4.0, 10GB GDDR6X, LHR, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-grade Certification)",494,https://www.newegg.com/asus-geforce-rtx-3080-tuf-rtx3080-o10g-v2-gaming/p/1FT-000Y-007P6
ASUS ROG STRIX GeForce RTX 3080 O10G GAMING OC D6X 10GB White,1695,https://www.newegg.com/p/1FT-000Y-00681
ASUS ROG STRIX GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-LC-RTX3080TI-O12G-GAMING,1449,https://www.newegg.com/asus-geforce-rtx-3080-ti-rog-strix-lc-rtx3080ti-o12g-gaming/p/N82E16814126517
"EVGA GeForce RTX 3080 Ti XC3 GAMING Video Card, 12G-P5-3953-KR, 12GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate",1368,https://www.newegg.com/evga-geforce-rtx-3080-ti-12g-p5-3953-kr/p/N82E16814487549
MSI Suprim GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 SUPRIM 10G,816,https://www.newegg.com/msi-geforce-rtx-3080-rtx-3080-suprim-10g/p/N82E16814137634
